id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date_of_data_download,days_since_last_review
24845439,Boston Home Great Location,187813188,Jamaica Plain,42.314440000000005,-71.10122,Private room,75,1,127,2019-12-01,6.7,3,176,2020-01-31,61 days 00:00:00.000000000
24865433,Large Comfortable Two Bedroom By Charles River,20079643,West End,42.36418,-71.06952,Entire home/apt,280,30,6,2019-09-28,0.86,19,180,2020-01-31,125 days 00:00:00.000000000
24909410,"Beautiful 2 Bed 2 Bath, River view near TD Garden",182778270,Downtown,42.36639,-71.06235,Entire home/apt,250,91,13,2018-08-26,0.68,1,0,2020-01-31,523 days 00:00:00.000000000
24913828,"Beachside, Savin Hill",14234007,Dorchester,42.30845,-71.05065,Private room,125,1,52,2019-11-10,2.97,1,158,2020-01-31,82 days 00:00:00.000000000
24914199,Quiet and Clean South End Studio!! Top Floor,76545076,South End,42.339490000000005,-71.07664,Entire home/apt,150,91,24,2019-10-29,1.67,13,0,2020-01-31,94 days 00:00:00.000000000
24914428,5⭐ French Countryside Couples Getaway + Parking,11410590,Charlestown,42.37298,-71.0634,Entire home/apt,125,1,83,2019-11-15,4.41,4,153,2020-01-31,77 days 00:00:00.000000000
24914518,"Cozy Apt 2 near BC,BU w/parking and keyless entry",156907137,Brighton,42.34664,-71.16649,Entire home/apt,100,1,117,2019-12-03,6.16,3,0,2020-01-31,59 days 00:00:00.000000000
24916564,Cheery South End Studio!!,76545076,South End,42.34244,-71.07545999999999,Entire home/apt,120,91,71,2019-10-15,3.94,13,0,2020-01-31,108 days 00:00:00.000000000
24916747,Beautiful BRIGHT South End Studio!!!,76545076,South End,42.34061,-71.0753,Entire home/apt,150,91,58,2019-10-25,3.25,13,363,2020-01-31,98 days 00:00:00.000000000
24916959,BRIGHT South End Studio!!,76545076,South End,42.34066,-71.07576999999999,Entire home/apt,170,91,27,2019-05-22,1.53,13,0,2020-01-31,254 days 00:00:00.000000000
24940276,Bed and breakfast close to Downtown,188551199,Dorchester,42.32748,-71.06035,Private room,209,1,20,2019-10-27,1.08,7,359,2020-01-31,96 days 00:00:00.000000000
24940322,Room up to 5 guests with FREE Breakfast,188551199,Dorchester,42.32823,-71.05913000000001,Private room,199,1,40,2019-11-03,2.14,7,352,2020-01-31,89 days 00:00:00.000000000
24940375,Room with FREE breakfast and parking,188551199,Dorchester,42.32683,-71.05888,Private room,199,1,40,2019-09-24,2.15,7,357,2020-01-31,129 days 00:00:00.000000000
24940413,Room with FREE breakfast close to Downtown Boston,188551199,Dorchester,42.32752,-71.06042,Private room,219,1,8,2019-10-20,0.48,7,246,2020-01-31,103 days 00:00:00.000000000
24940427,2 spacious rooms with jacuzzi and hot breakfast,188551199,Dorchester,42.32737,-71.05839,Private room,249,1,11,2019-08-05,0.62,7,246,2020-01-31,179 days 00:00:00.000000000
24940510,Boston Commons Condos Studio 1,8534462,Downtown,42.3519,-71.06378000000001,Entire home/apt,199,91,12,2019-08-28,0.64,133,155,2020-01-31,156 days 00:00:00.000000000
24944280,Boston Commons Condos 1BD 1,8534462,Downtown,42.35092,-71.06546999999999,Entire home/apt,199,91,12,2019-05-05,0.68,133,173,2020-01-31,271 days 00:00:00.000000000
24944512,Boston Commons Condos Studio 2,8534462,Downtown,42.35172,-71.06411,Entire home/apt,199,91,16,2019-07-21,0.88,133,178,2020-01-31,194 days 00:00:00.000000000
24944930,Shelly's Place Cozy,139072570,East Boston,42.38167,-71.02265,Private room,59,1,200,2019-11-19,10.68,5,278,2020-01-31,73 days 00:00:00.000000000
24945336,Boston Commons Condos 1BD 4,8534462,Downtown,42.351729999999996,-71.06364,Entire home/apt,199,91,20,2019-10-25,1.13,133,128,2020-01-31,98 days 00:00:00.000000000
24945374,Boston Commons Condos 1BD 2,8534462,Downtown,42.351620000000004,-71.06505,Entire home/apt,199,91,4,2018-10-17,0.26,133,173,2020-01-31,471 days 00:00:00.000000000
24945415,Boston Commons Condos Studio 4,8534462,Downtown,42.35115,-71.06487,Entire home/apt,199,91,13,2019-06-12,0.69,133,173,2020-01-31,233 days 00:00:00.000000000
24965806,Back Bay Apartment near MIT and Newbury Street - G,51079261,Back Bay,42.35054,-71.08895,Entire home/apt,200,2,35,2019-11-15,1.86,2,57,2020-01-31,77 days 00:00:00.000000000
24965808,Room A: Big Old Home in Dorchester,90687632,Dorchester,42.28573,-71.08572,Private room,21,31,11,2018-10-22,0.6,5,5,2020-01-31,466 days 00:00:00.000000000
24969609,Beautiful Private Two Bedroom Apt in Boston,33131531,Brighton,42.33902,-71.14913,Entire home/apt,155,91,0,,,3,0,2020-01-31,
24971621,Brand new basement with convenient transportanion,186235436,West Roxbury,42.27538,-71.16855,Private room,80,2,23,2019-11-02,1.23,2,286,2020-01-31,90 days 00:00:00.000000000
24983583,Boston Commons Condos 2BD/2BA 4 F,8534462,Downtown,42.35657,-71.05976,Entire home/apt,400,91,24,2019-07-07,1.33,133,361,2020-01-31,208 days 00:00:00.000000000
24992422,Luxurious Home in Boston's Historic Charlestown,188938217,Charlestown,42.377759999999995,-71.06166,Entire home/apt,189,1,92,2019-11-19,4.96,1,111,2020-01-31,73 days 00:00:00.000000000
25002829,Room B: Big Old Home in Dorchester,90687632,Dorchester,42.28603,-71.08539,Private room,32,31,18,2019-03-30,0.97,5,282,2020-01-31,307 days 00:00:00.000000000
25003001,Room C: Big Old Home in Dorchester,90687632,Dorchester,42.28471,-71.08505,Private room,32,31,18,2018-11-02,1.0,5,152,2020-01-31,455 days 00:00:00.000000000
25013408,Luxurious 16H Villa near Harvard University,14785487,Allston,42.35849,-71.13499,Entire home/apt,750,5,8,2019-10-21,0.53,6,356,2020-01-31,102 days 00:00:00.000000000
25025114,Perfect for Summer with cool A/C LARGE 1200 sqft,156053359,Dorchester,42.29136,-71.06651,Private room,175,91,9,2018-08-24,0.5,8,90,2020-01-31,525 days 00:00:00.000000000
25079212,Brigton/Allston peaceful home close to Harvard BU,77158766,Brighton,42.36092,-71.14381,Private room,40,91,1,2018-12-12,0.08,6,243,2020-01-31,415 days 00:00:00.000000000
25126538,Medical 2BR Apt Near Boston Children's Hospital!!,163251048,Mission Hill,42.33096,-71.11258000000001,Entire home/apt,289,3,0,,,14,364,2020-01-31,
25179090,Sunfilled Beautiful Apartment in Boston,131288031,Brighton,42.34553,-71.15209,Entire home/apt,140,91,0,,,1,0,2020-01-31,
25231332,Jamaica Plain / Stony Brook / Rm. 2 w/ PrivateDeck,12521814,Jamaica Plain,42.31674,-71.10393,Private room,85,91,11,2019-10-20,0.59,10,365,2020-01-31,103 days 00:00:00.000000000
25266010,"Private room&bath,ctr air,5 min to T,  to downtown",147658152,Brighton,42.3446,-71.16945,Private room,63,91,17,2018-08-21,0.93,1,5,2020-01-31,528 days 00:00:00.000000000
25275104,Entire apartment- great location,58848986,Brighton,42.33766,-71.14636999999999,Entire home/apt,105,91,10,2018-07-30,0.54,1,0,2020-01-31,550 days 00:00:00.000000000
25326962,"Clean, comfy room with excellent location@1",183805757,East Boston,42.367909999999995,-71.03804000000001,Private room,80,2,126,2019-11-25,6.79,3,31,2020-01-31,67 days 00:00:00.000000000
25328440,"Private parking, Clean, Comfy room @2",183805757,East Boston,42.36927,-71.038,Private room,80,2,123,2019-11-25,6.64,3,0,2020-01-31,67 days 00:00:00.000000000
25347070,Cozy room in Allston,62457579,Allston,42.35985,-71.13526999999999,Private room,56,1,0,,,2,0,2020-01-31,
25350460,Modern 2 Bed & 1 Bath Apt @Kendall Sq,28749942,West End,42.36229,-71.07039,Entire home/apt,299,1,2,2018-08-08,0.11,9,187,2020-01-31,541 days 00:00:00.000000000
25382635,Cozy Room at Kendall Square,28749942,West End,42.36205,-71.06919,Private room,159,1,78,2019-11-14,4.21,9,189,2020-01-31,78 days 00:00:00.000000000
25382895,Modern Room @ Kendall Square/MIT,28749942,Beacon Hill,42.360640000000004,-71.07003,Private room,159,1,51,2019-10-27,2.97,9,187,2020-01-31,96 days 00:00:00.000000000
25416313,"Newly renovated, Best Location CENTER of Boston",156053359,Dorchester,42.29193,-71.06638000000001,Private room,50,91,7,2019-08-27,0.4,8,358,2020-01-31,157 days 00:00:00.000000000
25429787,Sunny 1920's flat amid parks and cafés: 2 rooms,191880,Jamaica Plain,42.3155,-71.1127,Private room,100,2,6,2019-11-18,3.33,1,77,2020-01-31,74 days 00:00:00.000000000
25455523,Deluxe Family Home Pondside JP,12150111,Jamaica Plain,42.31238,-71.11762,Entire home/apt,575,91,3,2019-05-20,0.2,2,0,2020-01-31,256 days 00:00:00.000000000
25476466,RIVER LOCATION AND CITY VIEWS-SAFE CITY LOCATION!,9529655,Fenway,42.350629999999995,-71.09571,Entire home/apt,198,91,0,,,4,362,2020-01-31,
25520363,A true “home away from home”,4842537,Brighton,42.34543,-71.13703000000001,Entire home/apt,255,1,44,2019-10-27,2.42,1,0,2020-01-31,96 days 00:00:00.000000000
25576444,SouthEnd Eagles Nest,34719298,South End,42.34105,-71.07793000000001,Entire home/apt,175,2,51,2019-11-10,2.81,1,31,2020-01-31,82 days 00:00:00.000000000
